Reactions,Sentiment,Theme,Date,Comment,Post URL
66,neutral_comment,personal_opinion,2026-04-20,235 pounds of muscle is generous,https://www.facebook.com/reel/2499609417123793/
53,negative_comment,complaint,2026-04-11,"As a Nurse, I think this is pretty audacious to scare people like this for a sales pitch… just an FYI, at your age, hormones can also cause benign palpitations… only a Doctor should be putting a diagnosis out there… there is a big difference between an arrhythmia like a-fib and flutters or palpitations, that are more often benign… do better….",https://www.facebook.com/reel/1571695981632381/
50,positive_comment,appreciation,2026-04-09,"I was just released from the hospital this week after an LAD widowmaker. Two stents. I was asymptomatic and my smart watch saw nothing; however by dumb luck or divine intervention, my smart watch couldn't sync onto my pulse and it came to my attention. I was in AFib. So, by chance my watch saved my life by doing something it was not designed for. If I had known about this band, I think I would have been alerted much sooner.. I can't afford it right now after the hospital bills. I'm on Medicare Advantage, but someday I'll try to buy one. Sounds like a great product.",https://www.facebook.com/reel/4229484940602593/?comment_id=2203929627043001
47,positive_comment,suggestion,2026-04-01,"Or you could read the instructions which clearly state - boost your protein, hydrate and use resistance training.",https://www.facebook.com/reel/26279481811708059/
46,negative_comment,complaint,2026-04-09,"My daughter, at 36, had a widow maker heart attack and was almost sent home because she was 30, black and female. She had to insist on more tests and she ended up in surgery that night for a 80% blockage in the same artery.",https://www.facebook.com/reel/4229484940602593/?comment_id=1283771409878834
42,positive_comment,personal_opinion,2026-04-19,Don’t die without knowing JESUS AND ETERNAL LIFE.,https://www.facebook.com/748735847713759/posts/pfbid0fCkeZii1FEYSKZMpBZeAnopJn857hxsLsB6gpaMu5kQGxSAFVMQfu5f3HiKp9rVPl
36,positive_comment,suggestion,2026-04-27,Be awesome if it tracked electrical brain activity for people that have seizures,https://www.facebook.com/reel/989523326751358/
33,positive_comment,suggestion,2026-04-18,Take a calcium score test. Probably the most important heart test you can take.,https://www.facebook.com/reel/2499609417123793/
33,negative_comment,product_feedback,2026-04-06,"I went to the ER three days in a row EKG, Bloodwork, Xray,Echocardiogram every thing looked good until my Troponin started to rise on the third day just before they were going to send me home. Went to the Cath. Lab they found 2 blockages one is 50!percent still in there the other was 99 percent has a stent. All there fancy test could not find it for the first 2 days. What a nightmare 2.5 days of heart attacks. Doing good now.",https://www.facebook.com/reel/4229484940602593/?comment_id=27114280901506012
31,positive_comment,appreciation,2026-04-16,Sounds like the wife is the real hero here.,https://www.facebook.com/reel/4229484940602593/?comment_id=26223195040642225
31,negative_comment,complaint,2026-04-07,"He had access to a far better ER than I do. My father had a heart attack and they missed it. I took him almost an hour away to another and they had him in the hospital to place multiple stents. This same ER ignored my stroke symptoms for 8 hours while I sat in their waiting room, because it wasn't that bad... I am not so sure they would have saved this man",https://www.facebook.com/reel/4229484940602593/?comment_id=1301246121935166
23,positive_comment,appreciation,2026-04-26,"I was 57 when I had a double bypass… the Widowmaker was supposedly 100% blocked and the other vein on the front of the heart was 50% blocked… I was walking around like there was nothing wrong. I walked over 700 miles in 11 months. … doctors believe that all the walking I did increased the capillaries across the heart, helping save ￼my life. I was in the minor emergency when I actually went down … I went in there thinking maybe I was getting pneumonia. Had some pain right in my sternum… I was under medical care the whole time… CPR .. then the paddles 3 times…a heart cath that day and surgery the next morning. Both doctors told my wife, ( the one that performed the Cath and the one that performed the surgery)… that they didn’t know how I ever survived to even make it into ER. By the grace of God, I came through it with no real heart damage .￼ That was 14 years ago.",https://www.facebook.com/reel/943802325043482/
18,neutral_comment,product_feedback,2026-04-16,I ordered the band and will review after 30 days of use.,https://www.facebook.com/748735847713759/posts/pfbid0fZ4fA1FUtJaqWYh6MuSc8qMKSDVEACSnkm1FrnpUVupBTQdFbwVwpvzahpuM7auol
17,positive_comment,product_feedback,2026-04-19,"Ex medic here. This is a pretty good ad actually. During the summers I picked up a lot of bodies on the trails, track and treadmills. We called it Triple T Season.",https://www.facebook.com/reel/2499609417123793/
16,inquiry,question,2026-05-03,Can you set up for two clients or people? Like my mom and dad or do they need separate devices,https://www.facebook.com/reel/989523326751358/
16,negative_comment,complaint,2026-04-05,He must have had great insurance. The ER would have sent him home without half of those tests.,https://www.facebook.com/reel/4229484940602593/?comment_id=1639857623575415
15,positive_comment,appreciation,2026-04-08,I was so scared by this incredible and so so true story that i ordered 10 of them!,https://www.facebook.com/reel/4229484940602593/?comment_id=1997450924532666
15,inquiry,question,2026-05-08,Does it monitor sleep? And fitness activity as well?,https://www.facebook.com/reel/989523326751358/
14,positive_comment,appreciation,2026-04-10,"Crazy story- my dad had pneumonia and my mom had him go to the hospital. They couldn’t find anything and she said one thing she learned that she was little if you got pneumonia, something else is wrong with you so they started to run test and they did the same test your client got and saw that my dad had 99% blockage and literally was about to have a Widowmaker and they rushed him into emergency surgery",https://www.facebook.com/reel/4229484940602593/?comment_id=4219063721666834
14,positive_comment,personal_opinion,2026-05-10,"A high protein diet + calorie deficit, clean eating and exercise is all you need.",https://www.facebook.com/reel/1354128249958857/
13,positive_comment,product_feedback,2026-04-04,Just work out with weights while on Ozempic and you’ll only lose visceral fat. Works for me!,https://www.facebook.com/reel/1555782168859437/
13,inquiry,question,2026-04-10,What inflammation markers can you see without blood work?,https://www.facebook.com/reel/4229484940602593/?comment_id=929466373028646
13,negative_comment,personal_opinion,2026-04-29,Lady skinny or fat no matter what diabetes comes and hits you no matter what skinny or fat cuz I weigh 114 and I'm diabetic,https://www.facebook.com/reel/912199785151675/
12,negative_comment,product_feedback,2026-04-08,Love the way they always advertise healthy looking people having heart attacks!,https://www.facebook.com/reel/814827614997208/
11,neutral_comment,product_feedback,2026-04-19,U r strong but a long way from all muscle …id say about 25 percent away,https://www.facebook.com/reel/2499609417123793/
11,neutral_comment,personal_opinion,2026-04-18,"Most people suffer heart attacks due to chronic inflammation. Chronic inflammation is typically caused due to over consumption of seed oils, alcoholism, acidic beverages, insulin resistance, or foods that contain unnaturally high levels of calcium such as kale or spinach. Most bodybuilders who suffer from heart attacks are overeating the wrong foods. Calories don't matter. And they should not be a marker of how much food a person needs to consume. The types of foods being consumed is more important. Eat meat",https://www.facebook.com/reel/2499609417123793/
11,negative_comment,product_feedback,2026-04-18,"If you’re 2 weeks away from a fatal heart attack AND pre-diabetic, you are not “healthy.” No disrespect to strongmen competitors. I love the sport. I implement some of their training protocols into my own training. But I’m just sayin. Clogged arteries and pre diabetes aren’t healthy.",https://www.facebook.com/reel/2499609417123793/
11,negative_comment,price_concern,2026-04-14,Your ad states $199 but when I tried to buy it $249 was the only price available. I would like the $199 price,https://www.facebook.com/748735847713759/posts/pfbid0fFG8tVx1t7RcpLfHJvFsgyexrcNYHRK5tQjvpAXhaBDenQEyyMJRgQRYyq7TGyBnl
11,negative_comment,complaint,2026-04-23,They have all this technology but hospital and docs cant tell someone whats wrong with them 99 percent of the time and make them go through extesive test procedures and meds like wtf,https://www.facebook.com/reel/1291617518971090/
10,positive_comment,product_feedback,2026-04-19,Cheyenne pepper 🌶️ stops heart attacks thins blood protects heart and do a parasite cleanse 👍🏾,https://www.facebook.com/reel/2499609417123793/
10,inquiry,question,2026-05-23,I asked chat gpt and it reccomended me garmin or fitbit because yours don't have long term review or usage yet. Could you somehow convinge me ? My busy is 25th of July and this would actually be a good present,https://www.facebook.com/reel/989523326751358/
10,negative_comment,product_feedback,2026-04-10,"Ok, skin stretches with fat and that smooths the wrinkles. When you loose weight either fast or slow it cant recover because its been stretched for 20 years. Get a grip",https://www.facebook.com/reel/1257058366588017/
9,neutral_comment,product_feedback,2026-04-09,Any diet will deplete your muscle of you don't prioritize protein to maintain mass and lift,https://www.facebook.com/reel/26279481811708059/
9,neutral_comment,suggestion,2026-04-09,Should’ve eaten more protein and did weight bearing exercises like they tell you too.,https://www.facebook.com/reel/1555782168859437/
8,positive_comment,personal_opinion,2026-05-11,"Go to the gym and lift. For muscle, for your bones, for your heart. ❤️",https://www.facebook.com/reel/905298982144222/
8,positive_comment,product_feedback,2026-04-06,Seeing my recovery speed after exercise is so motivating.,https://www.facebook.com/reel/4229484940602593/?comment_id=794454913721708
8,positive_comment,appreciation,2026-04-05,I just ordered mine can’t wait to figure it!,https://www.facebook.com/reel/4229484940602593/?comment_id=1647297329985953
8,inquiry,question,2026-05-16,Can you please explain how this band works for cardiovascular health?,https://www.facebook.com/reel/989523326751358/
8,inquiry,question,2026-05-15,Can this be worn in the bath/shower? I get a lot of dizzy spells while in bath due to hypertension that I’d like to monitor.,https://www.facebook.com/reel/989523326751358/
8,neutral_comment,question,2026-04-18,What if I see my cardiologist every year... get EKGs... have ultrasounds of my heart every 1-2 years... get regular scans of the arteries in my neck and legs?,https://www.facebook.com/reel/2499609417123793/
