Week,Total,Negative,Positive,Inquiry,Neutral,%Negative,Complaint,Price_concern,Question,Product_feedback,Appreciation,Customer_service
2026-W14,665,340,90,109,104,51%,55,161,87,206,35,25
2026-W15,985,543,106,113,196,55%,109,206,115,327,42,48
2026-W16,1087,507,188,163,187,47%,87,181,144,362,55,70
2026-W17,874,456,165,122,114,52%,183,153,121,188,59,51
2026-W18,771,439,108,132,81,57%,196,151,128,130,46,6
2026-W19,848,432,157,133,99,51%,204,144,130,176,53,8
2026-W20,759,381,175,119,70,50%,169,132,110,171,75,8
2026-W21,593,290,77,144,63,49%,155,101,113,97,40,9
2026-W22,587,296,86,144,43,50%,146,101,127,108,28,11
2026-W23,690,316,172,120,62,46%,165,81,112,141,73,12
2026-W24,380,149,108,69,39,39%,89,37,54,78,53,5
2026-W25,125,58,26,17,13,46%,32,13,19,16,14,5
